Tunnus,Latinankielinen_nimi,Suomenkielinen_nimi,Menestymisvyohyke,Taimikoko,korkeus t?ysikasvuisena,istutusvali,kpl/m2,Kuiva-kostea_0-2,Ravinteisuus_0-2,L?p?isevyys_0-1,Aurionko-varjo_0-2,Hapan-em?ksinen_0-2,tyyppi,Kukkimisajankohta
Sp be I,Spiraea betulifolia `Island?,koivuangervo,I-VII,40-60,1,0.6,500,1,1,1,1,1,lpe,
Rh Ar,Rhododendron Aamurusko FinE,gentianatsalea,I-III,30-40,0.6,500,4,1,1,1,1,1,lpe,syysv?ri punaruskea
Rh Ad,Rhododendron `Adalmiina?FinE,puistoatsalea,I-IV,30-40,1.5,500,4,1,1,1,1,1,lpe,syysv?ri hehkuvan viininpun
Rh Fr,Rhododendon x fraseri FinE,kev?tatsalea,I-IV,30-40,0.75,500,5,1,1,1,1,1,lpe,Touko-kes?kuu. syysv?ri syyskuu
Rh GL,Rhododenrdon `Golden Lights?,revontuliatsalea,I-IV,30-40,1.3,500,4,1,1,1,1,1,lpe,Syyskuu
Rh Il,Rhododendron Illusia FinE,puistoatsalea,I-IV,30-40,1.3,500,4,1,1,1,1,1,lpe,kes?kuu
Rh Ku,Rhododendron `Kullannuppu?FinE,gentianatsalea,I-III,30-40,0.9,500,4,1,1,1,1,1,lpe,keltaiset kukat
Rh ML,Rhododendron `Mandarin Lights?,revontuliatsalea,I-IV,30-40,1.25,500,4,1,1,1,1,1,lpe,punaoranssit kukat
Rh No,Rhododendron x 'Northern Hi-Lights?,revontuliatsalea,I?IV,30-40,0.9,500,500,1,1,1,1,1,lpe,valkoiset kukat. syysv?ri punaruskea
Rh Or,Rhododendron ?Orchid Lights?,revontuliatsalea,I-V,30-40,0.9,500,500,1,1,1,1,1,lpe,lilat kukat
Rh Ro,Rhododendron ?Rosy Lights?,revontuliatsalea,I?V,30-40,0.9,500,500,1,1,1,1,1,lpe,vaal.pun kukat
Rh Ru,Rhododendron x Rustica Mixture ?Ruususen Uni? ,atsalea,I?III,30-40,0.7,500,4,1,1,1,1,1,lpe,vaal.pun kukat
Rh Ta,Rhododenron Tarleena FinE,puistoatsalea,I-IV,30-40,1,500,4,1,1,1,1,1,lpe,Elokuu
Sp be TG,Spiraea betulifolia `Tor Gold?,keltakoivuangervo,I-VII,40-60,0.7,0.6,500,1,1,1,1,1,lpe,
Rh V,Rhododendron `Violetta?FinE,kanadanatsalea,500,30-40,0.75,500,5,1,1,1,1,1,lpe,
